Create Time,User Name,Tweet Content,Token,Link
Tue Oct 22 14:08:14 +0000 2019,Donald J. Trump,"RT @NASA: “You’re doing an incredible job,” says @POTUS to @Astro_Christina and @Astro_Jessica during today’s #AllWomanSpacewalk. Tune in t…",nasa incredible job say potus astrochristina astrojessica today allwomanspacewalk tune,https://twitter.com/realDonaldTrump/status/1186645438910349313
Tue Oct 22 14:07:27 +0000 2019,Donald J. Trump,RT @WhiteHouse: Fall is here! Come enjoy the beautiful White House Garden tours this weekend! Thank you to the @NatlParkService for taking…,whitehouse fall come enjoy beautiful white house garden tour weekend thank natlparkservice taking,https://twitter.com/realDonaldTrump/status/1186645243854237696
Tue Oct 22 14:06:55 +0000 2019,Donald J. Trump,Great Job Tim! https://t.co/WhgO67CfKP,great job tim httpstcowhgocfkp,https://twitter.com/realDonaldTrump/status/1186645111154847746
Tue Oct 22 14:06:17 +0000 2019,Donald J. Trump,RT @JessicaDitto45: “Empowering half the world’s population to flourish in the market economy is the best way to boost growth.” #WGDP https…,jessicaditto empowering half world population flourish market economy best way boost growth wgdp http,https://twitter.com/realDonaldTrump/status/1186644947954483201
Tue Oct 22 14:04:54 +0000 2019,Donald J. Trump,RT @WhiteHouse: Pelosi &amp; co. refuse to bring their inquiry to a vote because they have no serious interest in searching out truth and justi…,whitehouse pelosi amp co refuse bring inquiry vote serious interest searching truth justi,https://twitter.com/realDonaldTrump/status/1186644602398400512
Tue Oct 22 14:04:29 +0000 2019,Donald J. Trump,RT @WhiteHouse: Results that speak for themselves: Wage gains under President @realDonaldTrump have eclipsed growth under the past two admi…,whitehouse result speak wage gain president realdonaldtrump eclipsed growth past two admi,https://twitter.com/realDonaldTrump/status/1186644494797672449
Tue Oct 22 14:04:06 +0000 2019,Donald J. Trump,"RT @JuddPDeere45: .@RepKevinBrady, @virginiafoxx, &amp; @repgregwalden: ""We can lower drug prices for seniors, workers, and families to help th…",juddpdeere repkevinbrady virginiafoxx amp repgregwalden lower drug price senior worker family help th,https://twitter.com/realDonaldTrump/status/1186644401826738177
Tue Oct 22 14:02:20 +0000 2019,Donald J. Trump,RT @FrancoOrdonez: Immigration Hardliners Fight For Cuccinelli To Be Next DHS Secretary : NPR https://t.co/csVNSlfro9,francoordonez immigration hardliner fight cuccinelli next dhs secretary npr httpstcocsvnslfro,https://twitter.com/realDonaldTrump/status/1186643954026065921
Tue Oct 22 13:41:53 +0000 2019,Donald J. Trump,“The Democrats are trying to draw out this inquiry because they don’t have the support. Donald Trump is guilty only of winning the 2016 Election.” @MZHemingway @foxandfriends,democrat trying draw inquiry suppo donald trump guilty winning election mzhemingway foxandfriends,https://twitter.com/realDonaldTrump/status/1186638807984230403
Tue Oct 22 13:28:19 +0000 2019,Donald J. Trump,"Can’t believe that Nervous Nancy Pelosi isn’t moving faster on USMCA. Her people want it, they don’t know why she isn’t putting it up for a bipartisan vote. Taking too long!",believe nervous nancy pelosi moving faster usmca people want know putting bipaisan vote taking long,https://twitter.com/realDonaldTrump/status/1186635396567961601
Tue Oct 22 11:57:09 +0000 2019,Donald J. Trump,95% Approval Rating in the Republican Party. Thank you!,approval rating republican pay thank,https://twitter.com/realDonaldTrump/status/1186612453368651777
Tue Oct 22 11:54:36 +0000 2019,Donald J. Trump,Thank you Republicans. 185 out of 185 present voted for “US” last night. Really good!,thank republican present voted last night really good,https://twitter.com/realDonaldTrump/status/1186611810931236870
Tue Oct 22 11:52:28 +0000 2019,Donald J. Trump,"So some day, if a Democrat becomes President and the Republicans win the House, even by a tiny margin, they can impeach the President, without due process or fairness or any legal rights. All Republicans must remember what they are witnessing here - a lynching. But we will WIN!",day democrat becomes president republican win house even tiny margin impeach president without due process fairness legal right republican must remember witnessing lynching win,https://twitter.com/realDonaldTrump/status/1186611272231636992
Tue Oct 22 11:37:04 +0000 2019,Donald J. Trump,....@kilmeade   “I want to know about Hillary Clinton with the Dossier? I want to know if there was FISA abuse? We’re still waiting for that report!” @ainsleyearhardt  @foxandfriends,kilmeade want know hillary clinton dossier want know wa fisa abuse still waiting repo ainsleyearhardt foxandfriends,https://twitter.com/realDonaldTrump/status/1186607396917002241
Tue Oct 22 11:37:03 +0000 2019,Donald J. Trump,"...A majority do not want him Impeached and removed from office. 94% of the people in these battleground states who voted for President Trump want him to continue as President. That’s squarely in his corner.” @SteveDoocy “That’s a revealing poll, don’t you think that matters?”...",majority want impeached removed office people battleground state voted president trump want continue president squarely corner stevedoocy revealing poll think matter,https://twitter.com/realDonaldTrump/status/1186607396090724353
Tue Oct 22 11:21:13 +0000 2019,Donald J. Trump,"“I thought a very revealing poll was done by The New York Times. By about a 10 point margin, those in battleground states polled are against impeaching the President, and if Nancy Pelosi doesn’t take note of that, maybe she is the third rate politician.” @kilmeade @foxandfriends",thought revealing poll wa done new york time point margin battleground state polled impeaching president nancy pelosi take note maybe third rate politician kilmeade foxandfriends,https://twitter.com/realDonaldTrump/status/1186603407769034752
Tue Oct 22 11:11:32 +0000 2019,Donald J. Trump,"“The Ambassador to the European Union has already testified, he said there was no quid pro quo. He said the President had told him that.” @kilmeade  @foxandfriends",ambassador european union ha already testified said wa quid pro quo said president told kilmeade foxandfriends,https://twitter.com/realDonaldTrump/status/1186600971130015744
Tue Oct 22 04:33:26 +0000 2019,Donald J. Trump,Congratulations to @JustinTrudeau on a wonderful and hard fought victory. Canada is well served. I look forward to working with you toward the betterment of both of our countries!,congratulation justintrudeau wonderful hard fought victory canada well served look forward working toward betterment country,https://twitter.com/realDonaldTrump/status/1186500787922448384
Tue Oct 22 00:46:43 +0000 2019,Donald J. Trump,RT @TreasurySpox: It’s been 1️⃣ year since President @realDonaldTrump announced the new US-Mexico-Canada trade agreement. USMCA will be a w…,treasuryspox ️⃣ year since president realdonaldtrump announced new usmexicocanada trade agreement usmca,https://twitter.com/realDonaldTrump/status/1186443733019041793
Tue Oct 22 00:43:14 +0000 2019,Donald J. Trump,"RT @RepAnnWagner: As a cosponsor of the resolution to censure Rep. Adam Schiff, I was disappointed Nancy Pelosi did not even allow a vote o…",repannwagner cosponsor resolution censure rep adam schiff wa disappointed nancy pelosi even allow vote,https://twitter.com/realDonaldTrump/status/1186442854484369409
